Funnel Historico por Mes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Enero 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Plaza Moraledas,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,Item,Obj,Real,Acumulado ,Obj al dia ,Cumplimiento,,,,,,,,,,,,,,,,,,,,,
Formalizado,41,14,34%,41,34%,,Formalizado,9,2,22%,9,22%,,Formalizado,14,5,36%,14,36%,,,Formalizado,11,4,36%,11,36%,,Formalizado,4,0,0%,4,0%,,Formalizado,7,3,43%,7,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventas ,50,34,68%,50,68%,,Ventas ,12,8,67%,12,67%,,Ventas ,13,9,69%,13,69%,,,Ventas ,13,8,62%,13,62%,,Ventas ,6,1,17%,6,17%,,Ventas ,9,8,89%,9,89%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Enero 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,38,84%,45,84%,,Ventas ,12,3,25%,12,25%,,Ventas ,13,6,46%,13,46%,,,Ventas ,13,6,46%,13,46%,,Ventas ,6,2,33%,6,33%,,Ventas ,9,17,110%,9,110%,,,Ventas ,2,4,110%,2,110%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1275,1499,110%,1275,110%,,Leads generados,280,210,75%,280,75%,,Leads generados,85,105,110%,85,110%,,,Leads generados,600,922,110%,600,110%,,Leads generados,100,76,76%,100,76%,,Leads generados,135,93,69%,135,69%,,,Leads generados,115,93,81%,115,81%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,795,1217,110%,795,110%,,Leads efectivos,220,193,88%,220,88%,,Leads efectivos,85,105,110%,85,110%,,,Leads efectivos,410,674,110%,410,110%,,Leads efectivos,85,65,76%,85,76%,,Leads efectivos,118,88,75%,118,75%,,,Leads efectivos,56,92,110%,56,110%,,,,,,,,,,,,,,,,,,,,,
Cita programada,280,274,98%,280,98%,,Cita programada,95,14,15%,95,15%,,Cita programada,85,105,110%,85,110%,,,Cita programada,100,110,110%,100,110%,,Cita programada,35,9,26%,35,26%,,Cita programada,86,33,38%,86,38%,,,Cita programada,34,3,9%,34,9%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,215,215,100%,215,100%,,Cita efectiva,45,10,22%,45,22%,,Cita efectiva,85,105,110%,85,110%,,,Cita efectiva,60,56,93%,60,93%,,Cita efectiva,25,9,36%,25,36%,,Cita efectiva,67,32,48%,67,48%,,,Cita efectiva,22,3,14%,22,14%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,130,148,110%,130,110%,,Prueba de manejo,33,6,18%,33,18%,,Prueba de manejo,48,46,96%,48,96%,,,Prueba de manejo,36,22,61%,36,61%,,Prueba de manejo,20,9,45%,20,45%,,Prueba de manejo,52,34,65%,52,65%,,,Prueba de manejo,15,29,110%,15,110%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,125,113,90%,125,90%,,Solicitud de crédito generada,28,19,68%,28,68%,,Solicitud de crédito generada,35,28,80%,35,80%,,,Solicitud de crédito generada,28,23,82%,28,82%,,Solicitud de crédito generada,17,5,29%,17,29%,,Solicitud de crédito generada,38,24,63%,38,63%,,,Solicitud de crédito generada,9,14,110%,9,110%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,60,35,58%,60,58%,,Solicitud de crédito aprobada,16,5,31%,16,31%,,Solicitud de crédito aprobada,17,8,47%,17,47%,,,Solicitud de crédito aprobada,15,6,40%,15,40%,,Solicitud de crédito aprobada,10,2,20%,10,20%,,Solicitud de crédito aprobada,26,9,35%,26,35%,,,Solicitud de crédito aprobada,6,5,83%,6,83%,,,,,,,,,,,,,,,,,,,,,
Formalizado,38,21,55%,38,55%,,Formalizado,10,3,30%,10,30%,,Formalizado,12,4,33%,12,33%,,,Formalizado,11,3,27%,11,27%,,Formalizado,4,2,50%,4,50%,,Formalizado,7,6,86%,7,86%,,,Formalizado,2,3,110%,2,110%,,,,,,,,,,,,,,,,,,,,,
Ventas ,45,38,84%,45,84%,,Ventas ,12,3,25%,12,25%,,Ventas ,13,6,46%,13,46%,,,Ventas ,13,6,46%,13,46%,,Ventas ,6,2,33%,6,33%,,Ventas ,9,17,110%,9,110%,,,Ventas ,2,4,110%,2,110%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Febrero 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,,,,,,,,
Ventas ,40,31,85%,40,78%,,Ventas ,10,5,50%,10,50%,,Ventas ,13,7,77%,13,54%,,,Ventas ,12,13,108%,12,108%,,Ventas ,3,0,100%,3,0%,,Ventas ,9,5,56%,9,56%,,,Ventas ,1,1,100%,1,100%,,,,,,,,,,,,,,,,,,,,,
Leads generados,1260,1373,101%,1260,101%,,Leads generados,280,230,82%,280,82%,,Leads generados,85,94,110%,85,110%,,,Leads generados,600,635,106%,600,106%,,Leads generados,100,62,62%,100,62%,,Leads generados,135,211,110%,135,110%,,,Leads generados,30,41,110%,30,110%,,,,,,,,,,,,,,,,,,,,,
Leads efectivos,926,1045,110%,926,110%,,Leads efectivos,208,200,96%,208,96%,,Leads efectivos,85,94,110%,85,110%,,,Leads efectivos,385,457,110%,385,110%,,Leads efectivos,85,58,68%,85,68%,,Leads efectivos,118,206,110%,118,110%,,,Leads efectivos,28,30,107%,28,107%,,,,,,,,,,,,,,,,,,,,,
Cita programada,285,434,110%,285,110%,,Cita programada,85,89,105%,85,105%,,Cita programada,85,94,110%,85,110%,,,Cita programada,94,85,90%,94,90%,,Cita programada,32,21,66%,32,66%,,Cita programada,86,126,110%,86,110%,,,Cita programada,18,19,106%,18,106%,,,,,,,,,,,,,,,,,,,,,
Cita efectiva,215,337,110%,215,110%,,Cita efectiva,45,36,80%,45,80%,,Cita efectiva,85,94,110%,85,110%,,,Cita efectiva,60,43,72%,60,72%,,Cita efectiva,25,21,84%,25,84%,,Cita efectiva,67,124,110%,67,110%,,,Cita efectiva,12,19,110%,12,110%,,,,,,,,,,,,,,,,,,,,,
Prueba de manejo,105,109,84%,130,84%,,Prueba de manejo,33,19,58%,33,58%,,Prueba de manejo,48,28,58%,48,58%,,,Prueba de manejo,36,22,61%,36,61%,,Prueba de manejo,20,11,55%,20,55%,,Prueba de manejo,52,21,40%,52,40%,,,Prueba de manejo,10,8,80%,10,80%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito generada,101,83,66%,125,66%,,Solicitud de crédito generada,28,21,75%,28,75%,,Solicitud de crédito generada,35,18,51%,35,51%,,,Solicitud de crédito generada,28,21,75%,28,75%,,Solicitud de crédito generada,17,2,12%,17,12%,,Solicitud de crédito generada,38,19,50%,38,50%,,,Solicitud de crédito generada,5,2,40%,5,40%,,,,,,,,,,,,,,,,,,,,,
Solicitud de crédito aprobada,58,37,64%,58,64%,,Solicitud de crédito aprobada,16,10,63%,16,63%,,Solicitud de crédito aprobada,17,12,71%,17,71%,,,Solicitud de crédito aprobada,15,9,60%,15,60%,,Solicitud de crédito aprobada,10,0,0%,10,0%,,Solicitud de crédito aprobada,26,5,19%,26,19%,,,Solicitud de crédito aprobada,3,1,33%,3,33%,,,,,,,,,,,,,,,,,,,,,
Formalizado,28,17,61%,28,61%,,Formalizado,6,4,67%,6,67%,,Formalizado,6,7,110%,6,110%,,,Formalizado,8,4,50%,8,50%,,Formalizado,2,0,0%,2,0%,,Formalizado,7,1,14%,7,14%,,,Formalizado,1,1,100%,1,100%,,,,,,,,,,,,,,,,,,,,,
Ventas ,40,31,85%,40,78%,,Ventas ,10,5,50%,10,50%,,Ventas ,13,7,77%,13,54%,,,Ventas ,12,13,108%,12,108%,,Ventas ,3,0,100%,3,0%,,Ventas ,9,5,56%,9,56%,,,Ventas ,1,1,100%,1,100%,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Marzo 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Ange,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Galerias Tlaxcala,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,Plaza Pachuca,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,
Ventas ,40,41,103%,40,103%,,Ventas ,10,5,50%,10,50%,,Ventas ,13,8,62%,13,62%,,,Ventas ,12,11,92%,12,92%,,Ventas ,3,0,0%,3,0%,,Ventas ,,17,,,,,,Ventas ,1,0,0%,1,0%,,Ventas ,3,2,67%,3,67%,,,,,,,,,,,,,,
Leads generados,1380,1678,110%,1380,110%,,Leads generados,280,217,78%,280,78%,,Leads generados,85,105,110%,85,110%,,,Leads generados,600,980,110%,600,110%,,Leads generados,100,87,87%,100,87%,,Leads generados,,230,,,,,,Leads generados,30,59,110%,30,110%,,Leads generados,60,88,110%,60,110%,,,,,,,,,,,,,,
Leads efectivos,926,1186,110%,926,110%,,Leads efectivos,208,182,88%,208,99%,,Leads efectivos,85,105,110%,85,110%,,,Leads efectivos,385,618,110%,385,110%,,Leads efectivos,85,58,68%,85,68%,,Leads efectivos,,185,,,,,,Leads efectivos,28,38,110%,28,110%,,Leads efectivos,45,87,110%,45,110%,,,,,,,,,,,,,,
Cita programada,285,305,107%,285,107%,,Cita programada,85,37,44%,85,44%,,Cita programada,85,105,110%,85,110%,,,Cita programada,94,78,83%,94,83%,,Cita programada,32,20,63%,32,63%,,Cita programada,,48,,,,,,Cita programada,18,17,94%,18,94%,,Cita programada,28,20,71%,28,71%,,,,,,,,,,,,,,
Cita efectiva,215,237,110%,215,110%,,Cita efectiva,45,28,62%,45,62%,,Cita efectiva,85,105,110%,85,110%,,,Cita efectiva,60,36,60%,60,60%,,Cita efectiva,25,17,68%,25,68%,,Cita efectiva,,44,,,,,,Cita efectiva,12,7,58%,12,58%,,Cita efectiva,15,15,100%,15,100%,,,,,,,,,,,,,,
Prueba de manejo,130,118,91%,130,91%,,Prueba de manejo,33,25,76%,33,76%,,Prueba de manejo,48,41,85%,48,85%,,,Prueba de manejo,36,25,69%,36,69%,,Prueba de manejo,20,8,40%,20,40%,,Prueba de manejo,,15,,,,,,Prueba de manejo,10,4,40%,10,40%,,Prueba de manejo,8,5,63%,8,63%,,,,,,,,,,,,,,
Solicitud de crédito generada,125,85,68%,125,68%,,Solicitud de crédito generada,28,22,79%,28,79%,,Solicitud de crédito generada,35,24,69%,35,69%,,,Solicitud de crédito generada,28,16,57%,28,57%,,Solicitud de crédito generada,17,0,0%,17,0%,,Solicitud de crédito generada,,15,,,,,,Solicitud de crédito generada,5,8,110%,5,110%,,Solicitud de crédito generada,6,4,67%,6,67%,,,,,,,,,,,,,,
Solicitud de crédito aprobada,58,41,71%,58,71%,,Solicitud de crédito aprobada,16,9,56%,16,56%,,Solicitud de crédito aprobada,17,14,82%,17,82%,,,Solicitud de crédito aprobada,15,8,53%,15,53%,,Solicitud de crédito aprobada,10,0,0%,10,0%,,Solicitud de crédito aprobada,,7,,,,,,Solicitud de crédito aprobada,3,3,100%,3,100%,,Solicitud de crédito aprobada,4,2,50%,4,50%,,,,,,,,,,,,,,
Formalizado,32,18,56%,32,56%,,Formalizado,6,3,50%,6,50%,,Formalizado,6,7,110%,6,110%,,,Formalizado,8,6,75%,8,75%,,Formalizado,2,0,0%,2,0%,,Formalizado,,2,,,,,,Formalizado,1,0,0%,1,0%,,Formalizado,2,1,50%,2,50%,,,,,,,,,,,,,,
Ventas ,40,41,103%,40,103%,,Ventas ,10,5,50%,10,50%,,Ventas ,13,8,62%,13,62%,,,Ventas ,12,11,92%,12,92%,,Ventas ,3,0,0%,3,0%,,Ventas ,,17,,,,,,Ventas ,1,0,0%,1,0%,,Ventas ,3,2,67%,3,67%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Abril 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Angelopólis ,,,,,,,Piso ,,,,,,,,Digital ,,,,,,,Plaza Tlaxcala ,,,,,,,Otros,,,,,,,,Estrategia de Prospeccion,,,,,,,Plaza Pachuca,,,,,,,,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,,,,,,,,
Ventas ,45,41,91%,45,91%,,Ventas ,10,4,40%,10,40%,,Ventas ,13,9,69%,13,69%,,,Ventas ,12,8,67%,12,67%,,Ventas ,3,2,67%,3,67%,,Ventas ,3,16,110%,3,110%,,,Ventas ,1,1,100%,1,100%,,Ventas ,3,1,33%,3,33%,,,,,,,,,,,,,,
Leads generados,1380,1393,101%,1380,101%,,Leads generados,280,208,74%,280,74%,,Leads generados,85,79,93%,85,93%,,,Leads generados,600,834,110%,600,110%,,Leads generados,100,88,88%,100,88%,,Leads generados,105,67,140%,105,140%,,,Leads generados,30,62,110%,30,110%,,Leads generados,60,55,92%,60,92%,,,,,,,,,,,,,,
Leads efectivos,926,724,78%,926,78%,,Leads efectivos,208,208,100%,208,100%,,Leads efectivos,85,79,93%,85,93%,,,Leads efectivos,385,179,46%,385,46%,,Leads efectivos,85,88,104%,85,104%,,Leads efectivos,90,66,151%,90,151%,,,Leads efectivos,28,49,110%,28,110%,,Leads efectivos,45,55,110%,45,110%,,,,,,,,,,,,,,
Cita programada,285,146,51%,285,51%,,Cita programada,85,23,27%,85,27%,,Cita programada,85,12,14%,85,14%,,,Cita programada,94,83,88%,94,88%,,Cita programada,32,10,31%,32,31%,,Cita programada,60,7,20%,60,20%,,,Cita programada,18,3,17%,18,17%,,Cita programada,28,8,29%,28,29%,,,,,,,,,,,,,,
Cita efectiva,215,105,49%,215,49%,,Cita efectiva,45,15,33%,45,33%,,Cita efectiva,85,10,12%,85,12%,,,Cita efectiva,60,59,98%,60,98%,,Cita efectiva,25,9,36%,25,36%,,Cita efectiva,55,4,14%,55,14%,,,Cita efectiva,12,1,8%,12,8%,,Cita efectiva,15,7,47%,15,47%,,,,,,,,,,,,,,
Prueba de manejo,130,117,90%,130,90%,,Prueba de manejo,33,17,52%,33,52%,,Prueba de manejo,48,36,75%,48,75%,,,Prueba de manejo,36,35,97%,36,97%,,Prueba de manejo,20,7,35%,20,35%,,Prueba de manejo,42,13,58%,42,58%,,,Prueba de manejo,10,3,30%,10,30%,,Prueba de manejo,8,6,75%,8,75%,,,,,,,,,,,,,,
Solicitud de crédito generada,125,74,59%,125,59%,,Solicitud de crédito generada,28,13,46%,28,46%,,Solicitud de crédito generada,35,18,51%,35,51%,,,Solicitud de crédito generada,28,32,110%,28,110%,,Solicitud de crédito generada,17,2,12%,17,12%,,Solicitud de crédito generada,33,7,28%,33,28%,,,Solicitud de crédito generada,5,0,0%,5,0%,,Solicitud de crédito generada,6,2,33%,6,33%,,,,,,,,,,,,,,
Solicitud de crédito aprobada,58,41,71%,58,71%,,Solicitud de crédito aprobada,16,9,56%,16,56%,,Solicitud de crédito aprobada,17,10,59%,17,59%,,,Solicitud de crédito aprobada,15,14,93%,15,93%,,Solicitud de crédito aprobada,10,2,20%,10,20%,,Solicitud de crédito aprobada,23,5,28%,23,28%,,,Solicitud de crédito aprobada,3,0,0%,3,0%,,Solicitud de crédito aprobada,4,1,25%,4,25%,,,,,,,,,,,,,,
Formalizado,32,16,50%,32,50%,,Formalizado,6,4,67%,6,67%,,Formalizado,6,7,110%,6,110%,,,Formalizado,8,4,50%,8,50%,,Formalizado,2,0,0%,2,0%,,Formalizado,3,1,50%,3,50%,,,Formalizado,1,0,0%,1,0%,,Formalizado,2,0,0%,2,0%,,,,,,,,,,,,,,
Ventas ,45,41,91%,45,91%,,Ventas ,10,4,40%,10,40%,,Ventas ,13,9,69%,13,69%,,,Ventas ,12,8,67%,12,67%,,Ventas ,3,2,67%,3,67%,,Ventas ,3,16,110%,3,110%,,,Ventas ,1,1,100%,1,100%,,Ventas ,3,1,33%,3,33%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Mayo 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Angelopólis ,,,,,,,Piso ,,,,,,,,Custom ,,,,,,,Digital,,,,,,,Gran Patio Tlaxcala ,,,,,,,,Otros ,,,,,,,Prospeccion ,,,,,,,Plaza Pachuca ,,,,,,,,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,,,,,
Ventas ,45,35,78%,45,78%,,Ventas ,10,3,30%,10,30%,,Ventas ,13,9,69%,13,69%,,,Ventas ,1,0,0%,1,0%,,Ventas ,12,9,75%,12,75%,,Ventas ,3,1,33%,3,33%,,,Ventas ,2,9,110%,2,110%,,Ventas ,1,1,100%,1,100%,,Ventas ,3,3,100%,3,100%,,,,,,,
Leads generados,1380,1251,91%,1380,91%,,Leads generados,280,198,71%,280,71%,,Leads generados,85,115,110%,85,110%,,,Leads generados,20,10,50%,20,50%,,Leads generados,600,667,110%,600,110%,,Leads generados,100,115,110%,100,110%,,,Leads generados,85,43,51%,85,51%,,Leads generados,50,64,110%,50,110%,,Leads generados,60,39,65%,60,65%,,,,,,,
Leads efectivos,926,735,79%,926,79%,,Leads efectivos,208,193,93%,208,93%,,Leads efectivos,85,115,110%,85,110%,,,Leads efectivos,20,10,50%,20,50%,,Leads efectivos,385,169,44%,385,44%,,Leads efectivos,85,115,110%,85,110%,,,Leads efectivos,70,41,59%,70,59%,,Leads efectivos,35,53,110%,35,110%,,Leads efectivos,45,39,87%,45,87%,,,,,,,
Cita programada,285,355,110%,285,110%,,Cita programada,85,35,41%,85,41%,,Cita programada,85,107,110%,85,110%,,,Cita programada,20,7,35%,20,35%,,Cita programada,94,139,110%,94,110%,,Cita programada,32,13,41%,32,41%,,,Cita programada,40,11,28%,40,28%,,Cita programada,25,22,88%,25,88%,,Cita programada,28,21,75%,28,75%,,,,,,,
Cita efectiva,215,267,110%,215,110%,,Cita efectiva,45,22,49%,45,49%,,Cita efectiva,85,91,107%,85,107%,,,Cita efectiva,20,5,25%,20,25%,,Cita efectiva,60,103,110%,60,110%,,Cita efectiva,25,9,36%,25,36%,,,Cita efectiva,35,10,29%,35,29%,,Cita efectiva,15,8,53%,15,53%,,Cita efectiva,15,19,110%,15,110%,,,,,,,
Prueba de manejo,130,143,110%,130,110%,,Prueba de manejo,33,18,55%,33,55%,,Prueba de manejo,48,47,98%,48,98%,,,Prueba de manejo,12,7,58%,12,58%,,Prueba de manejo,36,37,103%,36,103%,,Prueba de manejo,20,8,40%,20,40%,,,Prueba de manejo,30,14,47%,30,47%,,Prueba de manejo,10,6,60%,10,60%,,Prueba de manejo,8,6,75%,8,75%,,,,,,,
Solicitud de crédito generada,125,95,76%,125,76%,,Solicitud de crédito generada,28,9,32%,28,32%,,Solicitud de crédito generada,35,24,69%,35,69%,,,Solicitud de crédito generada,8,0,0%,8,0%,,Solicitud de crédito generada,17,30,110%,17,110%,,Solicitud de crédito generada,17,5,29%,17,29%,,,Solicitud de crédito generada,25,19,76%,25,76%,,Solicitud de crédito generada,5,4,80%,5,80%,,Solicitud de crédito generada,6,4,67%,6,67%,,,,,,,
Solicitud de crédito aprobada,58,44,76%,58,76%,,Solicitud de crédito aprobada,16,5,31%,16,31%,,Solicitud de crédito aprobada,17,14,82%,17,82%,,,Solicitud de crédito aprobada,5,0,0%,5,0%,,Solicitud de crédito aprobada,15,8,53%,15,53%,,Solicitud de crédito aprobada,10,2,20%,10,20%,,,Solicitud de crédito aprobada,18,11,61%,18,61%,,Solicitud de crédito aprobada,3,3,100%,3,100%,,Solicitud de crédito aprobada,4,1,25%,4,25%,,,,,,,
Formalizado,32,18,56%,32,56%,,Formalizado,6,2,33%,6,33%,,Formalizado,8,6,75%,8,75%,,,Formalizado,1,0,0%,1,0%,,Formalizado,8,3,38%,8,38%,,Formalizado,2,0,0%,2,0%,,,Formalizado,2,5,110%,2,110%,,Formalizado,1,1,100%,1,100%,,Formalizado,2,1,50%,2,50%,,,,,,,
Ventas ,45,35,78%,45,78%,,Ventas ,10,3,30%,10,30%,,Ventas ,13,9,69%,13,69%,,,Ventas ,1,0,0%,1,0%,,Ventas ,12,9,75%,12,75%,,Ventas ,3,1,33%,3,33%,,,Ventas ,2,9,110%,2,110%,,Ventas ,1,1,100%,1,100%,,Ventas ,3,3,100%,3,100%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Funnel Junio 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAC Angelopolis,,,,,,,Plaza Angelopólis ,,,,,,,Piso ,,,,,,,,Custom ,,,,,,,Digital,,,,,,,Gran Patio Tlaxcala ,,,,,,,,Otros ,,,,,,,Prospeccion ,,,,,,,Plaza Pachuca ,,,,,,,Plaza Pachuca ,,,,,
Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli,,Item,Obj,Real,Acu,Obj al dia ,Cumpli
Ventas ,45,37,82%,45,82%,,Ventas ,10,4,40%,10,40%,,Ventas ,13,11,85%,13,85%,,,Ventas ,1,0,0%,1,0%,,Ventas ,13,7,54%,13,54%,,Ventas ,2,2,100%,2,100%,,,Ventas ,1,9,110%,1,110%,,Ventas ,1,0,0%,1,0%,,Ventas ,2,4,110%,2,110%,,Ventas ,2,0,0%,2,0%
Leads generados,1575,"1,315",83%,"1,575",83%,,Leads generados,250,250,100%,250,100%,,Leads generados,95,85,89%,95,89%,,,Leads generados,15,11,73%,15,73%,,Leads generados,758,748,99%,758,99%,,Leads generados,100,81,81%,100,81%,,,Leads generados,85,49,58%,85,58%,,Leads generados,30,19,63%,30,63%,,Leads generados,60,43,72%,60,72%,,Leads generados,70,29,41%,70,41%
